Title,DOI,Right Hypothesis,EvoAge,Escargot,BioChatter
Systematic profiling reveals betaine as an exercise mimetic for geroprotection,https://doi.org/10.1016/j.cell.2025.06.001 ,"Betaine supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, betaine inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline",partial_support,no_support,weak_support
Stress granule clearance mediated by V-ATPase-interacting protein NCOA7 mitigates ovarian aging,https://doi.org/10.1038/s43587-025-00927-w,"Therapeutic delivery of NCOA7 mRNA promotes the autophagic degradation of stress granules and inhibits oxidative stress in human granulosa cells. By efficiently clearing these granules, this targeted intervention promotes ovarian resilience and strongly inhibits cellular senescence, thereby successfully delaying ovarian aging and extending female reproductive longevity.",weak_support,no_support,weak_support
"Deletion of METTL14, a key methylation regulator, attenuates vascular ageing",https://doi.org/10.1093/eurheartj/ehaf476 ,"Targeted knockdown of METTL14 inhibits the stabilization of TLR4 mRNA, which inhibits chronic vascular inflammation. This molecular intervention inhibits endothelial cell senescence and arterial stiffness, and ultimately promotes healthy vascular aging and cardiovascular resilience in older individuals.",no_support,no_support,no_support
NRF1-mediated innate immune response drives inflammaging,https://doi.org/10.1038/s41467-025-66368-6,"Targeted knockdown of NRF1 inhibits the TBK1/IRF3 innate immune signaling pathway, which directly inhibits the senescence-associated secretory phenotype (SASP). This reduction in systemic inflammation inhibits cellular senescence and promotes healthy aging, effectively extending lifespan and mitigating age-related multi-organ deterioration.",partial_support,no_support,no_support
Panaxatriol exerts anti-senescence effects and alleviates osteoarthritis and cartilage repair fibrosis by targeting UFL1,https://doi.org/10.1016/j.jare.2024.10.016 ,"Targeted treatment with panaxatriol promotes UFL1 activity, which directly inhibits chondrocyte senescence and inhibits inflammatory SASP release. By regulating these pathways, the intervention inhibits abnormal fibrocartilage formation and promotes healthy cartilage repair, effectively delaying the degenerative progression of osteoarthritis.",weak_support,no_support,no_support
PRDM16 Reduces Cellular Senescence by Upregulating GSTM1,https://doi.org/10.1002/advs.202501233,"Targeted delivery of PRDM16 promotes GSTM1 transcription and promotes healthy glutathione metabolism. This enhanced antioxidant activity directly inhibits oxidative DNA damage and inhibits cellular senescence across multiple organs. Ultimately, this targeted intervention inhibits aging-related organ injury and promotes healthy organ function in older individuals.",no_support,no_support,no_support
ATF3 Deficiency Exacerbates Ageing-Induced Atherosclerosis and Clinical Intervention Strategy,https://doi.org/10.1002/advs.202502249 ,"Targeted treatment with Terazosin inhibits the degradation of Atf3 mRNA, which directly promotes the ATF3-ATG7 protective autophagy loop. By stabilizing this pathway, Terazosin inhibits vascular smooth muscle cell senescence and inhibits plaque formation, which ultimately promotes cardiovascular health and prevents aging-driven atherosclerosis.",partial_support,no_support,no_support
Circadian Gene BMAL1 Regulation of Cellular Senescence in Thyroid Aging,https://doi.org/10.1111/acel.70119 ,"Targeted upregulation of the circadian gene BMAL1 promotes the expression of NFKBIA, which directly inhibits cellular senescence in thyroid epithelial cells. This intervention promotes stable thyroid hormone synthesis and inhibits age-related thyroid dysfunction, effectively preserving overall thyroid health in older individuals.",no_support,partial_support,no_support
"Identifying the target, mechanism, and agonist of α-ketoglutaric acid in delaying mesenchymal stem cell senescence",https://doi.org/10.1016/j.celrep.2025.115917,"Scutellarin promotes isocitrate dehydrogenase 1 activity, raising alpha-ketoglutaric acid levels. This promotes the 2-oxoglutarate and Fe(II)-dependent oxygenase domain-containing protein 1 and ribosomal protein S23 complex stability. This translation accuracy inhibits misfolded proteins, which inhibits mesenchymal stem cell senescence.Overall Scutellarin inhibits mesenchymal stem cell senescence and delays aging.",support,no_support,no_support
Targeting age-related LINE-1 activation alleviates cardiac aging,https://doi.org/10.1038/s43587-025-01056-0,"Long Interspersed Nuclear Element-1 (LINE-1) inhibits the cyclic GMP-AMP synthase and stimulator of interferon genes (cGAS-STING) pathway, which inhibits severe cardiac inflammation. This vital suppression promotes healthy cardiomyocyte function, which ultimately promotes cardiovascular longevity and delays aging.",partial_support,no_support,no_support
Elevating cytosolic NADPH metabolism in endothelial cells ameliorates vascular aging,https://doi.org/10.1038/s41467-025-64652-z,"Upregulating glucose-6-phosphate dehydrogenase (G6PD) promotes the cytosolic production of reduced nicotinamide adenine dinucleotide phosphate (NADPH). This targeted metabolic enhancement inhibits the pathogenic activity of histone deacetylase 3 (HDAC3), which directly inhibits endothelial cell (EC) senescence. Ultimately, sustaining this antioxidant pathway promotes vascular health and successfully delays cardiovascular aging.",weak_support,no_support,no_support
Metformin inhibits nuclear egress of chromatin fragments in senescence and aging,https://doi.org/10.1038/s43587-025-01048-0,"Metformin promotes AMP-activated protein kinase (AMPK) activity, which promotes the degradation of ALG-2-interacting protein X (ALIX). This breakdown directly inhibits the nuclear escape of cytoplasmic chromatin fragments (CCFs). Halting this egress inhibits the cyclic GMP-AMP synthase and stimulator of interferon genes (cGAS-STING) pathway, which ultimately inhibits senescence-associated inflammation and promotes overall longevity.",no_support,no_support,no_support
Targeting NAT10 alleviates colonic senescence and elderly-onset colitis by disrupting N4-acetylation of DYRK1A,https://doi.org/10.1038/s41467-026-70220-w,"Knockdown or inhibition of the critical regulator N-acetyltransferase 10 (NAT10) inhibits mRNA N4-acetylcytidine (ac4C) modification, which inhibits the stabilization of dual specificity tyrosine-phosphorylation-regulated kinase 1A (DYRK1A) mRNA. This directly inhibits colonic epithelial cell senescence, which ultimately inhibits elderly-onset ulcerative colitis (UC) and promotes the rejuvenation of intestinal aging.",weak_support,no_support,no_support
Dietary Citrate Restores Age-Related Endothelial Cell Mitochondrial Dysfunction and Alleviates Atherosclerosis,https://doi.org/10.1111/acel.70213,"Exogenous dietary citrate promotes AMP-activated protein kinase (AMPK) signaling. This activation inhibits mitochondrial dysfunction and inhibits reactive oxygen species (ROS) generation. Consequently, this suppression inhibits cyclin-dependent kinase inhibitor 1A (CDKN1A) expression, which directly inhibits human umbilical vein endothelial cell senescence. Ultimately, the presence of dietary citrate inhibits vascular aging and promotes cardio-cerebrovascular homeostasis.",weak_support,no_support,no_support
NNMT inhibition counteracts tubular senescence and fibrosis in early stages of chronic kidney disease,https://doi.org/10.1016/j.celrep.2025.116823,"Nicotinamide-N-methyltransferase (NNMT) promotes tubular epithelial cell senescence. This molecular overexpression promotes p21 association and promotes partial epithelial-to-mesenchymal transition. Consequently, this enzymatic activity promotes a pro-inflammatory microenvironment, which directly promotes kidney fibrosis. Ultimately, the biological presence of NNMT promotes renal aging features and promotes early-stage chronic kidney disease (CKD) progression.",support,no_support,no_support
Pyrroloquinoline Quinone Is an Effective Senomorphic Agent to Target the Pro-Inflammatory Phenotype of Senescent Cells,https://doi.org/10.1111/acel.70138,"Pyrroloquinoline quinone (PQQ) is a redox cofactor that inhibits the aging-related senescence-associated secretory phenotype (SASP). By directly targeting intracellular protein HSPA8, PQQ inhibits downstream SASP expression. Consequently, this senomorphic molecule inhibits stromal cancer cell malignancy and inhibits chemotherapy resistance. Ultimately, PQQ inhibits age-related organ degeneration and promotes geroprotective effects.",weak_support,no_support,no_support
RONIN/HCF1-TFEB Axis Protects Against D-Galactose-Induced Cochlear Hair Cell Senescence Through Autophagy Activation,https://doi.org/10.1002/advs.202407880,"The biological protein RONIN (THAP11) promotes Transcription Factor EB (TFEB) activity. This molecular activation promotes autophagy levels and promotes lysosomal function. Consequently, this cellular pathway directly inhibits inner ear hair cell senescence and inhibits senescent cell loss. Ultimately, RONIN inhibits age-related hearing loss and promotes auditory aging health.",partial_support,no_support,no_support
Hyperglutaminolysis drives senescence and aging through arginine-mTORC1 axis activation,https://doi.org/10.1038/s41392-026-02576-w,"The biological enzyme glutaminase 1 (GLS1) promotes hyperglutaminolysis. This metabolic hyperactivation promotes arginine biosynthesis via argininosuccinate lyase (ASL). Consequently, this molecular cascade promotes persistent mTORC1 activation. This nutrient-sensing signaling directly promotes cellular senescence. Ultimately, GLS1 promotes pathological aging processes and inhibits age-related health.",weak_support,no_support,no_support
Pck1 Deficiency Drives Mitochondrial Dysfunction and Cellular Senescence in Adipocytes,https://doi.org/10.1111/acel.70462,"The biological enzyme cytosolic phosphoenolpyruvate carboxykinase (Pck1) inhibits intracellular fumarate accumulation. This metabolic regulation inhibits mitochondrial DNA (mtDNA) release and inhibits oxidative stress. Consequently, this suppression inhibits the cyclic GMP-AMP synthase/stimulator of interferon genes (cGAS/STING) signaling pathway, which directly inhibits white adipose tissue cellular senescence. Ultimately, Pck1 inhibits inflammaging and promotes age-related metabolic homeostasis",no_support,no_support,no_support
