head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
D2JYH5,protein_biologicalprocess,GO:0006979,-0.0050641936250030994,-0.4622286150283048,ACCEPT,Collagen alpha-1(III) chain,response to oxidative stress,[],False,False,False,False,
D2JYH5,protein_biologicalprocess,GO:0070994,-0.02781268209218979,-0.4622286150283048,ACCEPT,Collagen alpha-1(III) chain,detection of oxidative stress,[],False,False,False,False,
D2JYH5,protein_tissue,BTO:0000452,-0.009042586199939251,-0.167513432965471,ACCEPT,Collagen alpha-1(III) chain,fibroblast,['Protein_Tissue'],False,True,True,False,Protein_Tissue
D2JYH5,protein_tissue,BTO:0000764,-0.014425254426896572,-0.167513432965471,ACCEPT,Collagen alpha-1(III) chain,lung fibroblast,['Protein_Tissue'],False,True,True,False,Protein_Tissue
D2JYH5,protein_tissue,BTO:0001255,-0.015535814687609673,-0.167513432965471,ACCEPT,Collagen alpha-1(III) chain,skin fibroblast,['Protein_Tissue'],False,True,True,False,Protein_Tissue
D2JYH5,protein_tissue,BTO:0004419,-0.01248255092650652,-0.167513432965471,ACCEPT,Collagen alpha-1(III) chain,dermal fibroblast,['Protein_Tissue'],False,True,True,False,Protein_Tissue
D2JYH5,protein_tissue,BTO:0004138,-0.009953626431524754,-0.167513432965471,ACCEPT,Collagen alpha-1(III) chain,gingival fibroblast,['Protein_Tissue'],False,True,True,False,Protein_Tissue
D2JYH5,protein_phenotype,HP:0003610,-0.034369125962257385,-0.453298916657638,ACCEPT,Collagen alpha-1(III) chain,Fibroblast metachromasia,[],False,False,False,False,
D2JYH5,protein_biologicalprocess,GO:0048144,-0.018767517060041428,-0.4622286150283048,ACCEPT,Collagen alpha-1(III) chain,fibroblast proliferation,[],False,False,False,False,
D2JYH5,protein_biologicalprocess,GO:0006921,-0.013879543170332909,-0.4622286150283048,ACCEPT,Collagen alpha-1(III) chain,cellular component disassembly involved in execution phase of apoptosis,[],False,False,False,False,
D2JYH5,protein_phenotype,impaired skin barrier function,-0.009236427024006844,-0.453298916657638,ACCEPT,Collagen alpha-1(III) chain,impaired skin barrier function,[],False,False,False,False,
D2JYH5,protein_phenotype,MP:0002796,-0.05962925776839256,-0.453298916657638,ACCEPT,Collagen alpha-1(III) chain,impaired skin barrier function,[],False,False,False,False,
D2JYH5,protein_phenotype,dermal hyperplasia,-0.06749178469181061,-0.453298916657638,ACCEPT,Collagen alpha-1(III) chain,dermal hyperplasia,[],False,False,False,False,
GO:0006979,biologicalprocess_biologicalprocess,GO:0070994,-0.0005279029137454927,-0.1182486154098985,ACCEPT,response to oxidative stress,detection of oxidative stress,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess
GO:0006979,biologicalprocess_biologicalprocess,GO:0048144,-0.00029450570582412183,-0.1182486154098985,ACCEPT,response to oxidative stress,fibroblast proliferation,[],False,False,False,False,
GO:0006979,biologicalprocess_biologicalprocess,GO:0006921,-0.00011129086487926543,-0.1182486154098985,ACCEPT,response to oxidative stress,cellular component disassembly involved in execution phase of apoptosis,[],False,False,False,False,
