run_id,timestamp,hypothesis,per_type_limit,n_input_terms,n_terms_unresolved,n_kg_entities_raw,n_kg_entities_filtered,n_filter_dropped,n_triples_raw,n_triples_signed,n_rows_collapsed,b1_inKG_ACCEPT,b2_novel_ACCEPT,b3_inKG_false_REJECT,b4_inKG_true_REJECT,b5_sign_conflict,b6_check_failed,n_accept_total,n_reject_total
fe9c679985c84a5f9dfc1cf85405b863,2026-07-15T22:12:13,"Can selective depletion of myeloid-biased haematopoietic stem cells (HSCs) restore a balanced HSC compartment in aged organisms, increase production of naïve B and T lymphocytes, reduce systemic inflammation, and improve vaccine responsiveness and resistance to novel infections?",5,12,1,80,54,28,1136,315,884,7,197,678,2,0,0,204,680
29017a806a3c4131908ea2774d0a879c,2026-07-16T00:00:35,"Can lithocholic acid (LCA), a calorie restriction-induced metabolite, activate AMP-activated protein kinase (AMPK) to enhance muscle regeneration and improve physical function, thereby recapitulating the anti-ageing effects of calorie restriction?",5,8,0,59,59,26,2286,696,1716,9,335,1368,4,0,0,344,1372
7b333cc03a6a470093808ff3e38a9287,2026-07-16T09:24:02,"Spermine, a polyamine involved in metabolism and neuroprotection, may influence Hyperkinesis through neurotransmitter and oxidative-stress pathways.",10,4,0,53,53,0,1780,585,1303,20,629,648,6,0,0,649,654
beff1c0d1c49472487ccf1e5b3c6a940,2026-07-16T09:49:43,"Betaine supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, betaine inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline.",10,6,0,56,28,39,625,320,361,14,152,193,1,1,0,166,194
a6839a50cda64b4fbcd6456dd3698389,2026-07-16T10:03:40,"Betaine supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, betaine inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline.",5,6,0,60,30,32,610,273,386,7,143,233,2,1,0,150,235
0ecb1e62daef47f79f01428241a4322d,2026-07-16T11:13:09,,5,6,0,57,42,15,977,288,743,19,286,436,1,1,0,305,437
68ad37fadabe453291180362ac4c9004,2026-07-16T11:21:31,,5,4,0,53,27,30,477,162,345,8,173,163,1,0,0,181,164
7c96c630aeba42db8277579fe3299c9e,2026-07-16T17:02:19,"Can lithocholic acid (LCA), a calorie restriction-induced metabolite, activate AMP-activated protein kinase (AMPK) to enhance muscle regeneration and improve physical function, thereby recapitulating the anti-ageing effects of calorie restriction?",5,8,0,59,58,4,2192,660,1652,9,321,1318,4,0,0,330,1322
b8a0ae7165f446bf8b43bd2491ecf0a8,2026-07-16T17:20:51,"Can lithocholic acid (LCA), a calorie restriction-induced metabolite, activate AMP-activated protein kinase (AMPK) to enhance muscle regeneration and improve physical function, thereby recapitulating the anti-ageing effects of calorie restriction?",5,8,0,59,58,4,2192,660,1652,9,321,1318,4,0,0,330,1322
00bf7d06deca449fb58b3566d88ee62f,2026-07-16T17:40:57,"Betaine supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, betaine inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline.",5,7,0,71,36,46,781,270,559,9,191,356,1,2,0,200,357
3866b8b2ebbc47c18652b311fb1a42a4,2026-07-16T17:57:09,"Doxorubucin supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, betaine inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline.",5,8,0,74,37,53,762,252,555,11,151,388,4,1,0,162,392
b013ad4f41a3477ca5073648880fba6c,2026-07-16T23:27:50,"Can lithocholic acid (LCA), a calorie restriction-induced metabolite, activate AMP-activated protein kinase (AMPK) to enhance muscle regeneration and improve physical function, thereby recapitulating the anti-ageing effects of calorie restriction?",5,8,0,59,59,0,2286,696,1716,9,335,1368,4,0,0,344,1372
f1993c7984dc468b8545fb4c122ac7e8,2026-07-16T23:39:02,"Artificial delivery of NCOA7 mRNA promotes a toxic over-accumulation of stress granules and inhibits natural cellular stress responses. This metabolic disruption inhibits normal autophagic degradation pathways, which directly promotes rapid granulosa cell senescence, ultimately accelerating pathological ovarian aging and reducing female reproductive longevity.",5,9,0,102,102,0,4303,730,3713,16,938,2751,8,0,0,954,2759
4464d6f571b54f1387222189f90530e1,2026-07-17T06:46:27,"Doxorubucin supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, Doxorubucin inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline.",5,6,0,56,56,0,1977,728,1379,20,412,942,4,1,0,432,946
4b9473253711462d980a4b974c28403d,2026-07-17T06:53:43,"Betaine supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, betaine inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline.",5,6,0,56,56,0,1927,672,1375,20,489,863,2,1,0,509,865
b81b4565222e462ebff3703100816f78,2026-07-17T07:53:35,"Artificial delivery of NCOA7 mRNA promotes a toxic over-accumulation of stress granules and inhibits natural cellular stress responses. This metabolic disruption inhibits normal autophagic degradation pathways, which directly promotes rapid granulosa cell senescence, ultimately accelerating pathological ovarian aging and reducing female reproductive longevity.",5,7,0,93,93,0,3527,603,3041,16,784,2231,10,0,0,800,2241
