run_id,timestamp,hypothesis,per_type_limit,n_input_terms,n_terms_unresolved,n_kg_entities_raw,n_kg_entities_filtered,n_filter_dropped,n_triples_raw,n_triples_signed,n_rows_collapsed,b1_inKG_ACCEPT,b2_novel_ACCEPT,b3_inKG_false_REJECT,b4_inKG_true_REJECT,b5_sign_conflict,b6_check_failed,n_accept_total,n_reject_total
3a02f7175b064e3ab75fab985e498207,2026-07-17T09:18:17,"Betaine supplementation inhibits healthy aging and promotes cellular senescence when used without actual physical exercise. Without the physical stress of working out, continuous betaine administration promotes the dysregulation of metabolic pathways. This dysregulation inhibits natural cellular cleanup mechanisms and promotes the acceleration of age-related health decline.",5,4,0,34,34,0,697,240,499,13,186,298,2,0,0,199,300
10c125e8bbde4daaa374d6c16e3eb083,2026-07-17T09:23:39,"Doxorubicin supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, Doxorubicin inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline.",5,6,0,56,56,0,1977,728,1379,19,417,937,5,1,0,436,942
f3d6d21dd0f94444b619b7d042da80ad,2026-07-17T09:37:15,"Betaine supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, betaine inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline.",5,4,0,21,11,10,60,25,40,6,17,16,0,1,0,23,16
61a9069cad9a48308a6f408daa657c90,2026-07-17T09:42:14,"Doxorubucin supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, Doxorubucin inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline.",5,4,0,30,24,6,327,112,236,10,43,179,3,1,0,53,182
88ee530f7501414b824763ee6517cfa3,2026-07-17T09:46:07,"The age-related suppression of UFL1 promotes the dysregulation of the FOXO1 and NF-κB pathways, which strongly promotes chondrocyte senescence. This continuous cellular decline inhibits normal joint metabolism and heavily promotes tissue fibrosis, ultimately accelerating the severe progression of osteoarthritis.",5,5,0,32,26,6,297,30,273,15,69,189,0,0,0,84,189
b487470aecac441fb01abd0c260db536,2026-07-17T09:50:33,"The age-related suppression of METTL14 promotes the dysregulation of the ATNX1 and immune signaling pathway, which strongly promotes chondrocyte senescence. This continuous cellular decline inhibits normal joint metabolism and heavily promotes tissue fibrosis, ultimately accelerating the severe progression of osteoarthritis.",5,5,0,32,27,4,399,120,303,12,99,192,0,0,0,111,192
3b98c19ad3834fd598b74583ba3affc9,2026-07-17T09:53:42,"The age-related suppression of UFL1 promotes the dysregulation of the ATNX1 and immune signaling pathway, which strongly promotes chondrocyte senescence. This continuous cellular decline inhibits normal joint metabolism and heavily promotes tissue fibrosis, ultimately accelerating the severe progression of osteoarthritis.",5,5,0,32,22,10,310,120,214,9,66,139,0,0,0,75,139
92721ff169a54ee28ffe8f7134a01df9,2026-07-17T09:57:12,"The age-related suppression of UFL1 promotes the dysregulation of the ATNX1 and immune signaling pathway, which strongly promotes chondrocyte senescence. This continuous cellular decline inhibits normal joint metabolism and heavily promotes inflammation, ultimately accelerating the severe progression of osteoarthritis.",5,6,0,45,23,22,322,120,226,11,74,141,0,0,0,85,141
db0a4a37d54f4cf4a8bb3f4ef4bb23e5,2026-07-17T10:02:02,"The age-related upregulation of METTL14 promotes TLR4 mRNA stability and promotes severe oxidative stress. This continuous inflammatory response inhibits normal endothelial function and promotes rapid cellular senescence, which ultimately promotes arterial remodeling and accelerated pathological vascular aging.",5,7,0,74,74,0,2373,520,1953,40,666,1243,3,1,0,706,1246
abe7eeae74a64fc4abeb9448614c141a,2026-07-17T10:06:28,"Targeted knockdown of ATG5 inhibits the stabilization of NCOA7 mRNA, which inhibits chronic vascular inflammation. This molecular intervention inhibits endothelial cell senescence and arterial stiffness, and ultimately promotes healthy vascular aging and ovarian resilience in older individuals.",5,7,0,73,73,0,2259,448,1899,40,498,1357,3,1,0,538,1360
